userID,Age_Month,Age_Years,Brand,F_Colors,F_Hobbies,F_Musician,F_SportsTeam,Name,Gender,Shirts_Size,Pants_Size
52,5,3,4,49,53,73,14,Jessica Patterson,3,81,72
53,5,2,2,53,64,43,26,Kent Cunningham,2,22,54
54,3,2,2,28,99,85,64,Joseph Reed,2,85,25
55,1,5,2,62,26,59,91,Pamela Martin,3,46,94
56,2,4,1,69,76,79,52,Kevin Vasquez,3,1,58
57,5,1,5,26,16,75,89,Nicole Duran,3,82,12
58,1,2,2,72,16,48,71,Isaiah Haynes,1,80,85
59,4,1,3,7,22,94,13,Jamie Wilson,1,1,68
60,0,4,4,28,36,2,13,Michael Hart,2,64,48
61,4,5,5,47,81,60,26,Cynthia Moore,3,94,22
62,1,1,3,99,73,12,84,Tina Robertson,2,96,20
63,4,4,5,61,52,27,49,Daniel Drake,1,2,31
64,2,2,1,51,69,15,95,Darrell Hopkins,2,19,20
65,3,5,1,32,19,65,2,Nancy Kennedy,2,51,16
66,0,4,1,72,38,52,56,Joshua Green,1,53,16
67,5,3,4,42,72,49,3,Peter Jackson,1,75,18
68,1,1,1,69,13,20,19,Bailey Young,3,69,61
69,2,4,1,91,29,77,70,Robert Price,1,23,55
70,2,5,5,36,81,3,29,Miss Stacey Morgan,2,15,42
71,1,3,1,43,68,61,11,Jennifer Smith,3,4,65
72,2,2,1,32,68,92,58,Jeffrey Cardenas DVM,2,31,70
73,4,1,5,24,35,52,34,Susan Lewis,1,85,15
74,1,5,5,91,54,84,69,Robert Zimmerman,2,17,67
75,2,5,2,86,23,38,1,Brian Jackson,2,87,40
76,1,2,3,49,31,49,47,Megan Price,1,55,26
77,1,3,4,35,93,26,22,Matthew Melendez,3,61,93
78,5,1,3,66,20,22,55,Justin Robertson,2,50,8
79,4,0,2,11,86,25,33,Gregory Harris,2,4,71
80,0,3,1,92,52,14,98,Sandra Edwards,2,71,25
81,2,0,3,39,19,46,93,Gary Gilbert,1,68,96
82,0,0,3,98,68,24,10,Russell Hurley,2,61,28
83,5,2,3,52,20,94,100,Christine Wood,2,80,72
84,1,4,1,15,40,6,81,Luke Bell,3,14,31
85,5,3,5,4,100,53,47,Adam Walker,1,36,7
86,2,3,5,90,12,60,32,Allen Martinez,1,59,25
87,1,1,4,81,10,92,7,Richard King,1,96,28
88,1,0,5,21,15,50,97,Jeffrey Mathews,3,25,3
89,3,2,5,26,54,42,48,Amanda Mora,3,95,25
90,3,2,4,83,48,83,46,Christine Peters,2,47,49
91,5,0,2,59,95,4,32,Rebecca Flores,3,34,57
92,0,4,5,36,95,49,54,Matthew Guzman,3,47,57
93,1,4,4,60,60,71,85,Peter Huynh,1,51,63
94,3,0,5,91,73,14,29,Melissa Acosta,3,39,80
95,2,0,1,74,60,48,75,Christine Cox,2,7,50
96,1,5,2,81,6,70,28,Steven Barry,1,6,97
97,5,4,2,67,6,42,18,Anthony Thompson,3,76,100
98,3,1,4,70,20,40,52,Kyle Freeman,1,30,20
99,4,0,1,51,33,43,20,Joshua Walker,3,96,97
100,5,3,2,37,35,8,85,James Smith,3,91,72
101,5,4,5,75,1,87,61,Michael White,3,11,60
102,3,2,2,10,55,68,19,Elizabeth Barnes,1,89,13
103,2,3,2,59,44,86,28,Brenda Clark,3,26,5
104,4,4,1,69,82,71,60,Todd Rose,2,46,58
105,2,3,5,63,99,96,100,Kimberly Garcia,3,90,72
106,5,0,1,29,59,78,17,Matthew Jackson,1,74,70
107,2,4,2,72,19,57,78,Anthony Hughes,1,54,47
108,3,0,2,49,80,97,91,Matthew Williams,2,10,95
109,1,0,1,57,76,3,48,Jeffrey Stephenson,3,85,53
110,0,5,3,1,56,20,44,Richard Crawford,3,68,84
111,3,1,3,82,65,51,30,Jonathan Newton,2,50,6
112,5,1,2,12,77,6,87,Valerie Torres,3,26,34
113,4,3,2,15,94,68,89,Dylan Turner,2,42,1
114,4,2,3,59,24,70,63,Bradley Jackson,3,69,71
115,1,3,2,53,4,39,76,Marc Garcia,2,57,20
116,1,3,5,54,97,27,48,Scott Melton Jr.,3,1,89
117,4,1,4,81,35,35,17,James Beck,2,5,72
118,5,0,5,67,89,58,9,Brenda Evans,1,22,35
119,2,2,3,28,67,15,12,Pamela Smith,1,89,5
120,0,3,3,82,94,95,62,Angela Ellis,1,83,60
121,0,4,4,41,49,39,89,Larry Moore,3,54,2
122,1,2,4,58,99,88,99,Dana Kane,3,99,93
123,4,0,5,20,26,77,75,Andrew Randolph,2,12,63
124,3,2,5,32,56,69,56,Richard Herrera,2,12,35
125,4,3,5,87,96,91,100,Lindsay Clements,3,55,61
126,3,0,4,32,16,41,59,Billy Harrison,3,14,26
127,1,0,2,24,98,32,80,Scott Nelson,3,14,64
128,2,2,1,48,81,23,85,Austin Edwards,2,71,88
129,1,0,2,86,94,96,97,Jasmine Booth,2,64,18
130,0,4,2,82,35,30,35,David Michael,1,79,94
131,0,4,3,51,8,51,70,Dr. Natalie Howell,2,22,67
132,3,5,3,39,6,10,20,Cody Cuevas,1,25,11
133,4,4,3,97,67,64,94,Jamie Todd,3,90,14
134,3,2,5,43,9,24,40,Danielle Franklin,3,37,32
135,1,0,5,69,48,51,61,Ashley Trevino,1,99,57
136,1,4,4,92,6,54,67,Christina Rodriguez,1,19,77
137,3,2,4,30,51,68,14,Tina Keller,2,72,38
138,0,0,5,22,11,81,63,James Dillon,3,28,20
139,2,1,3,66,56,62,76,Kelly Williams,3,9,54
140,4,2,2,33,41,85,91,Shelly Smith,3,91,14
141,1,2,5,83,38,65,41,Ms. Sydney Campos,3,54,69
142,3,2,3,68,31,58,43,Alexander Snyder,2,1,51
143,1,5,1,86,70,34,55,Shelby Williams,1,83,19
144,2,5,5,71,99,70,34,Michelle Jones,1,98,91
145,1,1,4,83,40,5,20,Lauren Montoya,1,58,44
146,3,5,1,19,65,77,26,Ricardo Waters,3,70,34
147,0,2,4,54,1,64,46,Brian Eaton,2,90,8
148,2,4,3,20,41,43,20,Kenneth Little,1,93,40
149,4,1,1,54,67,4,21,Billy Smith,3,39,66
150,1,3,3,52,71,22,23,Veronica Rocha,2,41,57
151,3,5,1,7,98,48,37,Michelle Wallace,1,32,3
152,1,5,5,51,27,44,79,Dave Mcdowell,1,67,67
153,1,1,2,96,71,94,40,Lisa Bean,3,91,76
154,1,5,1,26,2,76,77,Katie Green,3,21,9
155,4,4,3,16,41,84,33,Rachel Flores,2,35,6
156,2,2,3,15,88,11,36,Andrew Smith,1,85,84
157,3,5,2,53,52,65,16,Jacob Miller,2,81,55
158,0,0,3,63,98,80,5,Monica Hall,1,90,79
159,3,0,2,33,85,51,1,Elizabeth Ayala,1,38,15
160,4,5,5,30,28,11,45,Jenna Webb,1,32,74
161,4,0,3,15,58,98,1,Walter Mcintyre,2,37,81
162,1,2,2,89,1,53,63,Amanda Barnes,3,77,66
163,0,0,4,70,43,33,84,Jeremy Reyes,2,97,11
164,1,0,2,96,75,17,24,David Nelson,2,49,82
165,5,5,3,98,21,35,82,Gina Simpson,2,78,54
166,0,5,4,15,18,100,76,David Parrish,3,33,42
167,1,2,5,53,49,4,73,Thomas Fitzgerald,3,25,31
168,2,5,1,58,1,1,69,Danielle Tapia,1,83,43
169,5,2,4,58,84,37,35,Rhonda Moore,3,58,74
170,2,1,2,49,42,63,38,Jessica Lewis,2,93,48
171,5,5,3,9,36,60,69,Sabrina Peters,2,81,95
172,5,2,4,16,69,50,17,Stephanie Matthews,2,99,61
173,1,0,5,72,58,57,39,Sara Allen,1,50,97
174,3,5,4,71,62,25,71,Morgan Jones,2,38,59
175,0,3,3,2,17,11,1,Dana Rivera,1,47,50
176,0,2,4,68,30,59,25,Shelly King,1,98,63
177,2,0,2,2,54,20,79,Laurie Reyes,3,75,31
178,1,3,4,25,62,28,22,Matthew Thompson,3,43,91
179,1,3,3,69,97,18,86,Rebecca Ferguson,3,6,29
180,5,2,1,32,16,22,22,John Bolton,2,25,57
181,3,1,3,62,73,35,84,Kimberly Nguyen MD,1,23,47
182,4,0,1,58,60,35,43,Antonio Murphy,3,14,32
183,3,1,4,46,90,35,91,Robin Trujillo DDS,1,93,48
184,1,3,2,8,61,30,5,Stephanie Dennis,3,35,93
185,0,4,1,40,1,94,6,Brent Mayo,1,76,53
186,4,2,4,24,27,88,20,John Patterson,1,32,52
187,4,4,5,75,6,94,43,Craig Vance,1,65,18
188,4,5,5,38,17,27,99,Heather Jackson,1,57,98
189,0,2,3,81,87,37,48,Brett Blake,1,97,70
190,4,1,2,29,73,86,87,Drew Wilson,1,63,81
191,1,0,5,82,74,49,9,Alexis Sawyer MD,3,48,51
192,4,3,5,60,1,99,6,Nicole Todd,2,85,9
193,2,5,4,91,26,39,4,Wendy Vasquez,1,5,86
194,2,3,4,79,80,10,92,Christine Morales,1,55,51
195,2,5,5,22,53,15,33,Dr. Kenneth Lopez,2,85,57
196,4,0,4,27,17,40,60,Michele Gregory,2,52,72
197,4,0,4,84,63,71,30,Melissa Briggs MD,2,84,86
198,1,1,4,63,80,93,22,Duane White,2,23,56
199,5,0,5,52,67,59,35,Renee Harris,3,34,41
200,5,0,2,40,25,34,91,Julia Green,3,58,96
201,4,0,1,38,89,67,43,Phillip Cline,1,74,4
202,5,0,1,60,13,52,33,Chelsea Bray,3,5,5
203,5,4,1,27,92,38,29,Douglas Cantrell,3,67,69
204,4,4,1,40,70,61,5,Kelly Kemp,2,12,45
205,4,4,1,96,70,41,45,Melanie Phillips,2,76,78
206,2,0,2,72,87,38,15,Alvin Smith,2,4,25
207,4,4,1,60,77,85,12,Ronald Young,3,1,85
208,1,4,3,35,59,11,11,Bryan Shields,3,14,78
209,4,0,4,78,93,79,81,Benjamin Franco,2,48,14
210,2,5,3,64,23,18,87,David Weber,1,40,31
211,4,4,5,13,8,46,28,Kevin Scott,2,5,51
212,0,2,4,27,97,65,70,Chad Soto,3,66,32
213,3,0,4,49,90,73,61,Michael Nguyen,1,37,2
214,2,0,4,2,74,42,19,Bethany Davis,1,5,22
215,2,4,4,58,76,2,79,Howard Johnson,2,69,39
216,3,1,1,75,77,93,69,Robert Alvarado,3,51,78
217,0,2,4,48,20,17,68,Anthony Irwin,3,33,92
218,4,2,5,3,16,59,21,Kristen Williams,1,17,18
219,1,5,3,91,97,3,34,Joseph Holmes,3,17,70
220,2,2,5,17,39,81,85,Sharon Baxter,1,42,59
221,3,5,5,4,38,22,24,Brittany Mckay,3,82,23
222,2,2,1,29,74,11,10,Stacy Hogan,3,46,8
223,5,3,3,93,16,23,21,Steven Garner,3,96,55
224,0,1,4,58,42,37,54,Cory Schwartz,3,27,73
225,2,0,2,43,27,46,22,Pamela Waters,2,11,20
226,4,2,2,25,18,40,4,Nicole Jones,3,99,14
227,3,3,2,67,99,62,96,Steven Mcmahon,1,70,15
228,0,5,3,77,41,56,99,Emily Doyle MD,1,35,74
229,2,5,3,87,42,13,82,Sarah Evans,3,23,40
230,0,3,5,41,87,80,91,Tammie Edwards,2,15,46
231,3,2,4,34,8,56,6,Frank Adams,1,94,73
232,5,1,4,83,88,31,3,Molly Smith,1,42,1
233,0,0,1,42,49,14,99,Monica Smith,1,79,17
234,5,3,3,49,3,24,81,Tonya Carter,2,12,56
235,3,3,1,39,17,6,11,Joseph Castro,2,31,27
236,3,2,1,71,24,72,100,Kimberly Goodwin,1,75,61
237,1,0,5,31,96,80,18,Jacob Reed,2,34,10
238,3,5,1,85,84,20,33,Bradley Vasquez,2,42,5
239,3,2,2,56,31,74,82,Michael English,2,29,53
240,5,2,3,93,43,15,22,Michael Watson,1,94,93
241,1,5,2,73,85,65,41,Mr. Ronald Ashley Jr.,3,68,58
242,0,5,1,74,41,10,82,Louis Weiss,1,88,4
243,2,2,3,76,99,83,36,Randall Ryan,3,15,11
244,2,4,3,53,71,63,65,Tracy Smith,3,52,81
245,1,1,4,42,98,95,74,Brianna Ford,1,36,88
246,2,1,5,43,15,100,76,Bradley Boyd,2,34,43
247,0,0,3,81,8,82,11,Christian Beck,2,6,29
248,1,2,4,6,90,79,66,Laurie Heath,2,6,54
249,2,2,3,58,20,61,79,Victoria Wheeler,3,68,81
250,5,2,4,53,68,100,46,Michele Ross,1,9,63
251,3,3,3,92,11,93,41,Jennifer Green,1,39,71
252,2,0,2,20,9,99,44,David Robles,2,44,7
253,4,4,3,20,64,89,58,Chad Lucero,1,8,47
254,0,2,1,58,32,79,34,Victoria Hawkins,1,34,27
255,4,2,2,34,100,11,67,James Gonzalez,3,24,59
256,0,4,2,68,52,60,28,Teresa Thompson,2,66,20
257,2,1,2,64,42,3,1,Brandi Richardson,1,50,67
258,0,4,1,60,30,69,33,Angel Jones,3,3,90
259,5,5,4,88,57,84,83,Samantha Burns,2,99,50
260,3,1,5,19,92,82,77,Chad Barrett,1,74,12
261,5,5,3,63,67,38,17,Patricia Ward,1,53,47
262,0,4,1,36,91,33,86,Kelli Morrison,1,33,90
263,2,5,4,89,45,57,55,Bernard Gates,2,27,97
264,2,1,2,69,99,52,5,Sarah Johnson,3,49,17
265,5,3,5,91,37,36,70,Jeffrey Shelton,3,89,30
266,5,2,5,42,29,10,85,Robin Wilson,2,98,31
267,5,5,2,20,26,100,96,Andrew Lewis,2,67,47
268,1,3,1,70,19,74,70,Marissa Martinez,2,9,56
269,2,3,1,45,39,49,1,Wanda Jordan,1,62,5
270,4,2,3,38,4,40,87,Richard Page,3,78,94
271,0,2,4,61,28,1,24,Bobby Haynes,1,45,80
272,5,2,1,19,43,47,24,Nicole Cruz,1,8,25
273,5,4,5,76,94,11,96,Valerie Gregory,2,24,18
274,1,3,5,20,23,20,98,Amanda Walker,2,36,91
275,2,5,2,87,93,53,17,Shannon Gibson,1,23,36
276,1,4,1,53,66,26,58,Joseph Adams,1,2,18
277,4,5,4,57,51,30,87,Mrs. Pam Mccullough,1,41,80
278,4,2,1,91,27,88,74,Anna Sherman,3,100,20
279,2,5,2,79,41,5,76,Andrew Lane,1,83,77
280,5,0,4,15,94,51,43,Brian Fry,1,77,71
281,1,4,5,43,52,15,90,Joseph Perry,2,72,77
282,2,0,2,69,40,80,72,Andrew Smith,3,55,18
283,2,0,3,74,98,29,19,Katherine Lawson,3,96,37
284,3,2,5,85,77,45,20,Megan Bell,3,43,25
285,0,4,3,48,81,69,25,Brent Garcia,3,25,13
286,1,4,3,55,35,40,29,Chris Phillips,2,92,9
287,2,4,1,16,59,66,5,Melissa Schultz,2,44,34
288,3,4,3,49,18,43,82,Amber Obrien,3,5,88
289,5,1,3,82,9,55,6,Stephanie Ramsey,3,69,71
290,5,5,3,71,99,37,51,Julie Larsen,3,49,13
291,1,2,1,71,31,75,84,Evan Reynolds,1,51,59
292,5,5,1,12,55,87,27,Arthur Tate,3,91,38
293,1,1,4,59,99,70,60,Alan Foster,3,29,45
294,5,3,1,13,45,100,83,Melanie Brown,1,16,78
295,5,5,5,84,13,81,92,Erika Smith,2,81,41
296,2,1,5,3,57,47,94,Nicholas Foster II,1,81,53
297,0,2,4,74,13,51,87,David Oliver,1,36,36
298,5,5,3,75,75,38,25,Charles Rodriguez,1,66,60
299,2,4,4,91,56,46,61,Robert Montes,2,60,87
300,0,3,4,71,47,67,64,Cynthia Miller,3,87,61
301,5,3,3,4,22,76,87,Bryan Moore,1,38,20
302,3,5,2,81,51,11,19,Danielle Copeland,1,79,3
303,4,3,5,14,74,4,86,Alicia Schmidt,2,73,18
304,3,3,1,77,76,75,9,Nicole Anderson,1,74,48
305,5,4,4,16,35,13,100,Timothy Morgan,3,33,63
306,1,0,4,77,56,88,89,Natalie Hansen,3,16,17
307,1,0,3,96,98,22,50,Hailey Johnson,1,79,66
308,5,2,4,88,53,1,85,Jill Crawford,1,17,46
309,5,4,5,10,45,94,96,Michael Nelson,2,37,6
310,3,0,5,74,53,25,16,Jessica Mercer,3,40,14
311,2,1,5,1,17,1,25,Joseph Chavez,2,63,68
312,5,0,2,13,46,48,99,David Aguirre,1,62,38
313,4,0,1,82,39,24,32,Dr. Daniel Stevenson,2,64,68
314,2,1,1,35,8,54,38,Elizabeth Miller,3,35,85
315,1,2,5,4,82,36,62,Teresa Luna,3,81,88
316,0,0,5,45,18,86,61,Elizabeth Bean,3,91,49
317,0,0,5,100,27,29,74,Mary Sherman,2,83,41
318,5,0,3,95,52,21,25,Andrew Rodriguez,2,57,78
319,1,5,2,94,92,69,87,Jesse Myers,1,58,7
320,5,0,5,5,67,43,9,Rebecca Ross,2,14,67
321,2,4,5,14,90,74,80,Adam Chandler,3,31,55
322,4,2,5,18,93,83,29,Samantha Carlson,3,70,26
323,4,4,3,40,29,29,1,Susan Scott,2,3,76
324,0,2,2,27,79,74,92,Jeremy Fitzgerald,1,69,32
325,0,2,3,69,10,99,73,Shane Jones,1,59,75
326,2,1,4,54,3,6,33,Anne Page,1,95,20
327,4,4,5,25,1,25,54,Jason Ramsey,1,39,99
328,3,5,3,66,18,2,3,Paul Burch,1,40,98
329,2,3,5,71,74,34,48,Daniel Rivas,1,87,41
330,3,2,3,15,21,49,42,Timothy Henderson,1,12,19
331,0,3,3,58,23,93,35,Kiara Williams,3,41,60
332,1,2,3,50,81,83,78,David Lopez,2,35,78
333,4,4,2,23,89,43,12,Adam Rowland,3,54,90
334,3,2,3,53,13,57,92,Kirsten Shepard,2,7,45
335,3,2,4,77,81,42,98,Gabriel Lee,1,41,86
336,5,3,4,98,77,31,21,Olivia Burke,1,26,76
337,2,5,1,38,38,93,57,Christine Bell,2,61,11
338,1,0,2,91,3,33,3,Lori Daniels,1,12,81
339,0,3,5,80,7,32,73,Michael Green,3,63,19
340,0,2,1,23,61,69,86,Kelly Webster,3,4,51
341,2,3,2,50,4,58,51,Jennifer Moore,3,19,100
342,5,3,4,90,31,93,54,Beverly Sutton,3,60,1
343,3,2,5,77,39,91,30,Willie Powers,3,1,17
344,0,4,3,46,60,8,29,Ricardo White,3,97,53
345,1,5,4,5,19,66,44,Erin Gordon,1,41,51
346,2,3,2,37,30,21,54,Ryan Johnson,1,2,2
347,1,0,3,66,96,81,29,Sheila Brown,1,36,37
348,4,0,1,57,27,89,34,Ryan Perry,1,7,88
349,0,5,3,66,62,11,25,Dr. Elizabeth Reed PhD,1,1,43
350,3,5,2,78,66,88,19,Barbara Sanders,3,15,56
351,3,4,4,74,48,13,100,Marc Austin,1,48,15
352,2,3,4,60,48,81,82,Kathleen Brown,3,75,49
353,4,4,3,56,94,10,34,Matthew Roberts,3,54,1
354,5,2,4,70,20,83,66,John Cervantes,2,95,26
355,0,1,3,66,45,67,32,Lisa Moran,1,87,2
356,3,4,5,17,70,71,76,Michael Sanchez,3,54,99
357,5,2,2,100,78,51,45,Joseph Santos,2,93,6
358,3,3,2,60,87,42,79,Sandra Sanchez,2,66,69
359,4,0,2,46,82,40,50,Jason Leonard,2,51,10
360,2,2,2,24,30,34,67,John Scott,2,2,33
361,4,1,3,58,20,38,75,Kathleen Jacobs,2,48,89
362,1,5,2,39,22,66,32,Jack Durham,1,31,83
363,1,1,2,9,10,47,39,Bradley Sanchez,3,17,63
364,4,5,2,17,5,72,21,Natasha Barnes,1,37,3
365,5,5,4,74,58,4,77,Preston Brown,1,5,71
366,5,4,5,73,1,84,84,Billy Alexander,3,4,88
367,5,2,3,97,80,91,19,Cindy Cole,1,7,46
368,3,0,2,68,11,76,1,Samuel Chung,3,92,70
369,1,1,4,36,57,79,74,Christopher Cruz,1,81,76
370,2,4,5,22,1,53,83,Joshua Frey,1,48,26
371,1,2,3,12,51,76,65,Elizabeth Estrada,3,27,50
372,5,2,2,83,30,82,74,Carla Kelly,2,9,28
373,2,3,5,68,27,28,82,Edward Alexander,2,24,91
374,1,0,5,34,82,98,59,Eric Garcia,2,6,14
375,3,1,3,92,71,71,66,Tammy Graves,2,74,90
376,3,3,5,13,6,31,75,Peter George,1,30,7
377,5,2,2,47,82,62,69,Amanda Hall,2,73,87
378,3,2,2,79,12,21,37,Joseph Pearson,3,53,30
379,1,1,4,38,50,82,57,Justin Smith,3,61,44
380,4,1,2,45,90,83,85,Whitney Schultz,3,15,22
381,4,3,3,85,55,22,70,Paul White,1,21,57
382,2,2,5,77,97,54,33,Susan Hall,3,97,83
383,5,3,2,2,82,100,85,Thomas Butler,2,40,56
384,1,4,5,62,62,14,12,Gregory Hernandez,3,62,47
385,4,5,4,95,14,56,39,Lauren Powell,2,73,60
386,3,0,2,81,89,86,47,Walter Hampton,3,45,4
387,5,4,1,5,1,3,20,Ashley Simmons,2,75,37
388,3,0,5,12,92,23,35,Tony Wilson,1,61,55
389,0,1,1,78,45,36,33,Elizabeth Mann,3,40,24
390,5,5,4,39,54,59,96,Shelly Gregory,3,7,66
391,3,0,4,82,28,77,17,Jessica Turner,1,65,19
392,4,4,3,17,94,100,86,Amy Williamson,3,28,51
393,2,2,5,49,43,81,66,Thomas Williams,2,59,59
394,0,1,2,49,34,10,56,Jeffery Crosby,2,40,2
395,2,0,5,26,10,23,67,Ryan Gill,3,90,5
396,0,1,3,5,100,29,27,Christopher Warren,3,85,87
397,0,2,2,47,13,23,25,Ashley Wilkerson,3,7,10
398,5,0,5,87,54,60,52,Jonathan Smith,1,88,6
399,2,2,4,82,2,79,20,Judith Ortiz,2,20,100
400,0,3,5,74,14,72,19,Derek Hernandez,1,14,84
401,5,4,2,66,62,93,89,Charles Salazar,3,98,65
402,4,3,2,8,64,53,76,Sabrina Boyd,2,1,22
403,3,5,3,85,75,36,12,Julie Christian,1,75,10
404,3,3,4,75,19,27,1,Roger Myers,1,3,37
405,4,1,4,72,43,55,69,Taylor Anderson,1,82,15
406,4,4,3,34,100,95,36,Mrs. Linda Smith,2,30,96
407,3,2,1,72,19,38,84,Bobby Torres,3,55,63
408,5,5,5,90,96,81,24,Marilyn Jackson,3,37,91
409,1,5,3,30,66,99,85,Veronica Gay,3,42,81
410,0,3,2,87,35,36,36,Sharon Harrell,2,31,57
411,1,0,5,14,99,93,47,Michelle Blair,1,81,71
412,3,4,1,72,51,28,74,Courtney Patterson,2,92,44
413,0,0,1,9,50,80,56,Eric Taylor,2,39,95
414,4,2,4,62,67,33,47,Nicholas Vasquez,1,17,53
415,5,2,4,14,70,97,10,Elizabeth Ortega MD,1,78,35
416,4,2,3,92,59,11,25,Dennis Watson,2,10,10
417,3,3,1,52,18,19,41,John Andersen,1,36,97
418,4,4,2,93,46,77,38,Joseph Wheeler,3,44,2
419,5,5,5,68,37,43,71,Valerie Garcia,3,83,89
420,3,2,3,5,56,83,35,Barbara Hall,3,77,64
421,3,2,5,13,23,33,75,Richard Bullock,3,41,13
422,1,4,1,75,41,20,3,Kyle Jackson,2,72,12
423,2,4,4,16,97,73,7,Sheila Pugh,2,64,60
424,5,4,3,34,63,84,24,Jonathan Harris,3,56,7
425,3,4,5,14,12,73,30,Dr. Kevin Anderson,3,72,79
426,3,4,5,31,30,77,56,Cameron Floyd,3,61,38
427,0,3,3,13,20,45,57,John Morris,3,41,32
428,2,0,4,59,40,63,90,Angel Sherman,2,27,96
429,1,4,4,8,76,71,12,Shelley Meyer,1,75,83
430,4,0,1,37,83,51,27,Matthew Kemp,3,75,98
431,0,5,5,18,93,12,30,Marie Smith,2,29,43
432,0,3,5,43,48,83,23,Juan Pineda,1,78,25
433,1,2,1,12,20,5,24,Lori Gamble,1,33,61
434,1,0,1,66,96,98,23,Shari Walker,3,89,18
435,1,0,5,7,42,23,30,Mr. Richard Watkins,3,19,64
436,3,5,5,35,59,8,82,Brandon Thompson,3,86,63
437,5,0,5,72,71,20,29,Ethan Crawford,3,60,18
438,2,1,3,52,74,84,67,William Lara,2,13,74
439,2,1,1,45,17,76,21,Ryan Smith,3,87,51
440,2,3,2,95,58,23,13,Heidi Baker,1,53,48
441,4,1,5,86,66,69,57,Donald Ford,1,62,77
442,3,2,2,25,10,3,98,Angelica Lambert,1,52,29
443,5,0,3,67,2,64,84,Dr. Christopher Allen,1,98,65
444,0,3,5,93,58,25,42,Brooke Ali,3,19,69
445,5,1,1,55,76,86,26,Steven Leonard,2,22,21
446,4,1,3,88,11,49,94,Robert Bradford,1,87,62
447,0,1,3,62,58,61,73,Joshua Moreno,1,50,94
448,1,4,2,53,2,73,78,Shelley Copeland,2,65,62
449,0,2,5,63,15,69,86,Joan James,1,85,90
450,1,2,2,77,78,79,48,Kristin Clayton,1,64,45
451,4,1,5,27,40,12,61,Angela Davis,1,95,92
452,5,4,4,95,5,79,29,Rebecca Villanueva,3,70,33
453,3,3,1,90,91,46,69,Phillip Conner MD,3,80,21
454,5,1,2,70,40,74,90,Melissa Malone,3,73,41
